DatasetID,CommitId,tentative_type,log_message
SilverDragon9/Password-Detection-Dataset,51e8a61a486a8063e975477fabaf15ded0e1594a,cleaning,Upload cleanpasswordlist(modified).csv
Disclosures-SSRC/AI-Safety_Reliability_Reseach,70216948378db7984e70d094c5751784a67cbfe4,deduplication,Upload data_merged_classified_deduplicated_FINAL.csv
smksaha/apt-eval,d3a95edb4542bbb6caf35aef96e1101fbf09764c,merge,added apt-eval merged dataset
smksaha/apt-eval,ee521e264a7ef8567f74e56e5d9c95d2bcb48859,merge,added the merged dataset
TaengooTV/math_onet,14e283509b943a95aebc30ab372318cf35467eec,cleaning,Upload cleaned_onet.csv
AmeliaCMU/Amelia-10,07cd3f43e4e6eae461846f15c077e894ff28bd36,cleaning,cleanup
anonymous-user-546/test-csv-conversion,ecd88d7bb263a0c00ffc23b179cdda3de631d9aa,column/field add-remove,add sampling_type column
science-of-finetuning/diffing-stats-gemma-2-2b-L13-k100-lr1e-04-local-shuffling-Decoupled,0998f271bf33f5eacfeb8612457745305f40c93c,rename/split-standardization,Added max activations and frequencies for validation split
science-of-finetuning/diffing-stats-Meta-Llama-3.1-8B-L16-mu2.0e-02-lr1e-04-local-shuffling-CCLoss,918ee4100628fd3a80813023dd9eedc81bd12b8b,column/field add-remove,Added betas columns to df
science-of-finetuning/diffing-stats-Meta-Llama-3.1-8B-L16-k222-lr1e-04-local-shuffling-Crosscoder,362d63f950ed1f4af4103db969c4a559fba25dc1,column/field add-remove,Added betas columns to df
science-of-finetuning/diffing-stats-Meta-Llama-3.1-8B-L16-k222-lr1e-04-local-shuffling-Decoupled,c428c130224ade6ba1abf55ccf820b41b30ea437,column/field add-remove,Added betas columns to df
khoaguin/pima-indians-diabetes-database,a19fc7ccdb1239581dda87a172e51ee55f27dc28,rename/split-standardization,split diabetes.csv into train.csv and test.csv
science-of-finetuning/diffing-stats-SAE-chat-gemma-2-2b-L13-k100-lr1e-04-local-shuffling,e91ba0bd6245e40df885cd68491100b05eb37546,column/field add-remove,Added betas columns to df
DeepMostInnovations/saas-sales-conversations,339a841360b19a1bcd41b25acae39e0bb20757d6,cleaning,Upload cleaned_custom_dataset.csv with huggingface_hub
atlas-da-saude-mental/mapa-da-discriminacao-racial-no-brasil,3a689c7711a3fdfe451eee65014da2ae10058ca0,normalize/standardize/encode,Upload coeficientes_por_municipio_standardized.csv with huggingface_hub
sangita1998/VECTOR_DATABASE,1b516e288ee8830144f92ff93497b28f31dfea8a,merge,Upload merged_billboard_data (1).csv
abinitha/MedPerturb,51995798d8d8fbcc9345be195f0b70b4ea3913d7,column/field add-remove,renaming index column for cleanliness
science-of-finetuning/diffing-stats-Llama-3.2-1B-L8-k150-lr1e-04-local-shuffling-Crosscoder,78542ed25b97c5438c56891909ddd99a0b2f0924,column/field add-remove,Added betas columns to df
science-of-finetuning/diffing-stats-Llama-3.2-1B-L8-mu3.0e-02-lr1e-04-local-shuffling-CrosscoderLoss,6cfaa31d180304af1c966e497296563844649e79,column/field add-remove,Added betas columns to df
science-of-finetuning/diffing-stats-Llama-3.2-1B-L8-mu3.6e-02-lr1e-04-local-shuffling-CrosscoderLoss,5b985b6dc321151c91b073160c37f18cfae8bd60,column/field add-remove,Added betas columns to df
science-of-finetuning/diffing-stats-Llama-3.2-1B-L8-k100-lr1e-04-local-shuffling-Crosscoder,94b7e3852af6826953895dae54e082c1ce561412,column/field add-remove,Added betas columns to df
kaistdata/RDB2G-Bench,7e5d6697897a1a48cf8554766fee7ef0dc80fddb,column/field add-remove,Update columns
kaistdata/RDB2G-Bench,798486de2c590d206aa328a076b2719e43a7184b,column/field add-remove,Unify columns
kaistdata/RDB2G-Bench,ba616c008aeb42ab0dc22aba36333d65c454a827,rename/split-standardization,Add split for metadata generation
jedha0padavan/glassdoor-reviews-tokenized,d1bc669852b3aa3c6c21542cd145c159e9acd95b,cleaning,Upload cleaned_reviews_for_nlp_analysis.csv
plnezooo/clean_dataset,b0591c2413c870f70c5f12ddf7774ebabed04544,cleaning,Upload clean_dataset.csv
PbI4a/Case_7,656198f91d4290c6dd30d0b41fb29e817b27dfcb,cleaning,Upload clean_reviews.csv
science-of-finetuning/diffing-stats-Meta-Llama-3.1-8B-L16-mu2.1e-02-lr1e-04-local-shuffling-CrosscoderLoss,2e736e06cd3352d3a085a82c27a819d0dcddff7c,column/field add-remove,Added betas columns to df
science-of-finetuning/diffing-stats-Meta-Llama-3.1-8B-L16-k200-lr1e-04-local-shuffling-Crosscoder-ni0.3-ka1k5k,606a1f9fd21380ae9e4c701fb83f7c57cc35510e,column/field add-remove,Added betas columns to df
nscharrenberg/DBNL-public,34cc57817fe115a94bc1214f229b3cbf5c476dc9,rename/split-standardization,Add books and chapters subsets for 50 books on a 50/50 forget-retain split.
isaacmuscat/merged_org_project_data,397909bf37b5947f70906c5b792b1d29b34b5a73,merge,Upload merged_organization_project_data.csv
karlleswing/toxbench,eb62bc3de5664192b06c88f5415d6160c8033870,rename/split-standardization,Split into multiple files for dataset viewer
BestiVictoryLab/VADB,8bd608a6874d64cc7822be809c370d5fe897e3b4,merge,Upload merged_comment_tag.json
BestiVictoryLab/VADB,7b66fc13a50232ec7d83d1b7c3ccda822e369931,merge,Delete merged_comment_tag.json
sid15500/patient_encounters,49d292dbc104a602234b73832b9ad16553e29efd,cleaning,Upload cleaned_patient_data.csv with huggingface_hub
nissenbaumbrad/healthcareProjectData,ed9377131f7d5e6de14059988b286a47569f8054,cleaning,Upload clean_healthcare_data.csv with huggingface_hub
jlechtne/cleaned_data,e3a2b9f5856e0e72698f47bb9dd76a70d0008fe8,cleaning,Upload cleaned_data.csv with huggingface_hub
mizzony/DNS_anomaly_wireshark,baefc74aa3b82729deacbe9e20d9c12465afeb14,cleaning,Upload Clean_DNS_Capstone.csv
yousry10/goHunt_JBG,024f0831168d27c3d1dee265fdee362dbe2362ff,merge,Delete merged_shuffled_Safe_Unsafe.xlsx
yousry10/goHunt_JBG,771c382348c1c907ce0da26da751c0502bac4ce3,merge,Delete merged_shuffled_responses_new.csv
yousry10/goHunt_JBG,66b5a15372d9adc321cceec78a22ab8dd7956bd3,merge,Upload merged_shuffled_Safe_Unsafe.xlsx
yousry10/goHunt_JBG,837334abab3eda11abb7ef5752b0b2080c5e3bfa,merge,Upload merged_shuffled_responses_new.csv
yousry10/goHunt_JBG,b1227be08fe0ff3b1b2d805a9c38de98b83f6b3b,merge,Delete mergedSafeUnsafe.csv
ohdoking/energy_consumption_by_model_and_gpu,99c245821b0916e93ac4bf094f984cf2c91fe171,cleaning,clean up local data
ohdoking/energy_consumption_by_model_and_gpu,0d8220bf751975cd4833dca6a7f7777240f98ba6,cleaning,clean up data
pushthetempo/cleaned-data,fe4a3791e999d5bb5d3d78644a766509cfe6cf92,cleaning,Add cleaned data via Flowmatic
almaqbalim/BikeShare,2cc7863408dfd1ab6218b6027515fb8f2a846a6f,cleaning,cleaned data sets uploaded
maulerrr/test,9aaf172d3868a24f621122e2e590c50ec1819205,cleaning,Add cleaned data via Flowmatic
thia-co/Core-Model-SFT-Adv-Reasoning,3276473cf9297b65cb85807e81b6e9df33fceaa1,normalize/standardize/encode,Delete normalized_dataset.jsonl
thia-co/Core-Model-SFT-Adv-Reasoning,68f1bb79bdba92aececff19f7e6c488b50f625ce,normalize/standardize/encode,Upload normalized_dataset.jsonl
science-of-finetuning/diffing-stats-SAE-difference-gemma-2-2b-L13-k100-lr1e-04-local-shuffling,1d0c235b154b446d446d25a294fcdafc04ecf638,column/field add-remove,Added betas columns to df
science-of-finetuning/diffing-stats-SAE-difference-gemma-2-2b-L13-k100-lr1e-04-local-shuffling,bceddcbf6de1465032b32cfd030ce32f02689fbc,rename/split-standardization,Added max activations and frequencies for validation split
science-of-finetuning/diffing-stats-SAE-difference_cb-gemma-2-2b-L13-k100-lr1e-04-local-shuffling,c17ae34138ce8ea92212e6e96d46985ec107ddf9,rename/split-standardization,Added max activations and frequencies for validation split
science-of-finetuning/diffing-stats-SAE-difference_cb-gemma-2-2b-L13-k100-lr1e-04-local-shuffling,ec497e70150c9670c7ae54efb41a0e66df8cd94b,column/field add-remove,Added betas columns to df
jr303/lexical-field,8e424dd0a09230f5a4cabc65e2feff51e4066b74,normalize/standardize/encode,Upload dataset_lexical_field_normalized-3.csv
nbettencourt/mlb-starters,2bf0871d1604baee41d0e95130bf7391ec65981e,column/field add-remove,Upload combined_starters_all_columns_2023_2024.csv
xaheli/HMDA_LAR_2017-23,d2a00a0f8a29f781a5f030c2ecb0af9e1e2f69fe,merge,Upload merged_common_fields.zip
science-of-finetuning/diffing-stats-SAE-difference_cb-gemma-2-2b-L13-k100-x8-lr1e-04-local-shuffling,bcb93b67cb922d40510e1f58e9b417b46f3d27d7,rename/split-standardization,Added max activations and frequencies for validation split
science-of-finetuning/diffing-stats-SAE-difference_cb-gemma-2-2b-L13-k100-x8-lr1e-04-local-shuffling,0a56944eea2cb3a7290245069b933f43c73d9d14,column/field add-remove,Added betas columns to df
jr303/lexical-fields-with-tokens,6f5c41c70f43871f46084a82eb112054bb1bfdc4,normalize/standardize/encode,Upload dataset_lexical_field_normalized_with_tokens-1.csv
science-of-finetuning/diffing-stats-SAE-difference_cb-Llama-3.2-1B-L8-k100-x32-lr1e-04-local-shuffling,d7ab72cb027604282e5cb7db43f53a2b3be84d60,column/field add-remove,Added betas columns to df
ycfNTU/tombench_merged,5bca73cc789aa9541a8ac14f34435dde293758dd,merge,Upload merged_dataset.csv with huggingface_hub
anasmakki/thyroidDFBalanced,4ffec691dae5734997a7d21ab4d46000d7b80297,column/field add-remove,Removed unnammed column and upload again
science-of-finetuning/diffing-stats-SAE-difference_cb-gemma-2-2b-L13-k100-x2-lr1e-04-local-shuffling,0417764aa327591f52f46de204e6b39a59572040,rename/split-standardization,Added max activations and frequencies for validation split
science-of-finetuning/diffing-stats-SAE-difference_cb-gemma-2-2b-L13-k100-x2-lr1e-04-local-shuffling,dcf3b0ca72c0e747f1ad96b3a831dc08d06bc3fc,column/field add-remove,Added betas columns to df
science-of-finetuning/diffing-stats-SAE-difference_cb-gemma-2-2b-L13-k100-x1-lr1e-04-local-shuffling,e24792ee76dd4c0148700737086c010c7240109a,column/field add-remove,Added betas columns to df
science-of-finetuning/diffing-stats-SAE-difference_cb-gemma-2-2b-L13-k100-x1-lr1e-04-local-shuffling,1cb7de5e890cdf5e1439cca313badfaa06f9178b,rename/split-standardization,Added max activations and frequencies for validation split
science-of-finetuning/diffing-stats-SAE-chat-Llama-3.2-1B-L8-k100-x32-lr1e-04-local-shuffling,c8f745de6628e679f50413b62910d2be8b84e655,column/field add-remove,Added betas columns to df
david-e-g/Dynamic-IFEval,76422cbb9b053e8573e76ad92437415286e008b3,normalize/standardize/encode,normal json
dgervais/patient-doctor,404a3478683814f3c968703b3dd897b3ca934674,cleaning,Upload cleaned_data.csv with huggingface_hub
jr303/lexical-dataset-50-lexical-fields,b8fa1749c4ef5d89273edbbc7c807478889d8e80,normalize/standardize/encode,Upload dataset_lexical_field_normalized-5.csv
tabularisai/swahili_sentiment_dataset,76c705df4de60098f5d9013f7997798b7c2c2f9d,cleaning,Rename cleaned_swahili_data (2).csv to swahili_data.csv
science-of-finetuning/diffing-stats-SAE-base-gemma-2-2b-L13-k100-x32-lr1e-04-local-shuffling,f28a367033628f68ef29524caf20a624357c08c7,rename/split-standardization,Added max activations and frequencies for validation split
science-of-finetuning/diffing-stats-SAE-base-gemma-2-2b-L13-k100-x32-lr1e-04-local-shuffling,e83acd944abf7427ce76bd5ef142e197b8ee4ecf,column/field add-remove,Added betas columns to df
science-of-finetuning/diffing-stats-SAE-base-Llama-3.2-1B-L8-k100-x32-lr1e-04-local-shuffling,ad3c59aa705775b9408bcead9aca7d3c949ae975,column/field add-remove,Added betas columns to df
electricsheepafrica/Age-Standardized-Prevalence-Of-Hypertension-Among-for-African-Countries,ab7e85090dd0ccd54e06c14c1a76b64eb70c7d98,normalize/standardize/encode,Initial upload of Age-standardized prevalence of hypertension data
electricsheepafrica/Age-Standardized-Prevalence-Of-Obesity-Among-Adults-for-African-Countries,8a3743a74510b26e3afdb213274bcc29ce5a2dcb,normalize/standardize/encode,Initial upload of Age-standardized prevalence of obesity data
electricsheepafrica/Age-Standardized-Prevalence-Of-Tobacco-Use-Among-for-African-Countries,c49666269fe908fb5f4994005e47acaa42ac9318,normalize/standardize/encode,Initial upload of Age-standardized prevalence of tobacco use data
electricsheepafrica/Agestandardized-Prevalence-Of-Hypertension-Among-for-African-Countries,bcc32d1800bebb58850fa54ccbc798f907f13023,normalize/standardize/encode,Upload Age-standardized prevalence of hypertension among adults aged 30 to 79 years (% dataset
electricsheepafrica/Agestandardized-Prevalence-Of-Obesity-Among-Adults-for-African-Countries,fd71351d6a8e41fb88bdc532ac547d294e765edc,normalize/standardize/encode,Upload Age-standardized prevalence of obesity among adults (18+ years dataset
electricsheepafrica/Agestandardized-Prevalence-Of-Tobacco-Use-Among-for-African-Countries,725e2f1bcfc647d35454f25d048b18e2c99bba29,normalize/standardize/encode,Upload Age-standardized prevalence of tobacco use among persons 15 years and older (% dataset
Nitin12032004/Jobs_Dataset,1be1930daf4338bc143b425b5421f376ae679997,merge,Upload Merged_data2.csv
electricsheepafrica/age-standardized-ncd-mortality-rateby-sex-for-african-countries,2592bedef35b72fb957f45191215879302902c42,normalize/standardize/encode,feat: Upload age-standardized-ncd-mortality-rateby-sex dataset and datacard
electricsheepafrica/age-standardized-suicide-ratesby-sex-for-african-countries,dd25dbc6ec328ee3da0cceeae47084986ecbb909,normalize/standardize/encode,feat: Upload age-standardized-suicide-ratesby-sex dataset and datacard
caiyan123/merged_other_task,da4182a6e0341ae7d59e4d271a27adfa848c7936,merge,Upload merged_other_task.csv
caiyan123/merged_other_task,bfe1beee6ece7dba267fb8090a58d90b6b20bc80,merge,Delete merged_other_task.csv
cisosdm/SatBirdxsPlotOpen,c85af941aa40e1cecc7e24c2ea4308ea20a27f04,cleaning,clean up
raniaaara/rose-dataset-with-acu,562276570ac838fe6c4940f5f904342fe231591f,column/field add-remove,"Update by adding ACU columns for matchsum, brio, gsum, and simcls"
Sadaftb/clinical-nlp-dataset-raw,d77c4eef0f8354bea58da183e8c68b2aa3514c54,cleaning,Re-add CSVs under LFS after filter-repo cleanup
atul10/arm_o0_phi4_multi_full_14_all_splits,79caf4a24ea9bc3e141a8e5d04c0998f30396e01,rename/split-standardization,Split dataset via CodeT5 GPU embeddings
raniaaara/rose_evaluation_result_detailed,0f605de5d3a1715cd493936b77bd81376a789225,normalize/standardize/encode,add acu and normalized acu score
SanatRao/cleaned_scaled_fire_data.csv,ef93461c9e0c5229f96e8c4180d34b998f728bd1,cleaning,Upload cleaned_fire_data.csv
ContributorsSIGNAL/SIGNAL,4c28456caa02bf5d3c29ebc3981bdf9c76b43974,column/field add-remove,add files with stimuli and their metadata (columns standardized)
sumitraadrian/dataset-sentimen-tambah,4af8dfbfcee7c0e6780301af55100e7773e62e25,rename/split-standardization,Upload Split/test_usa.csv with huggingface_hub
sumitraadrian/dataset-sentimen-tambah,765f7fbeaeb7c84b006df7b5993406c1a1f28138,rename/split-standardization,Upload Split/val_usa.csv with huggingface_hub
sumitraadrian/dataset-sentimen-tambah,1f89cc3e2963eb9f2ba16b8e47c8569d7d689cd7,rename/split-standardization,Upload Split/train_usa.csv with huggingface_hub
sumitraadrian/dataset-sentimen-tambah,e07a368f026c8bf8d21713ae9c0d667a5d038e73,rename/split-standardization,Upload Split/test_indo.csv with huggingface_hub
sumitraadrian/dataset-sentimen-tambah,9bd7e2694a8f5e59e5f79b98abd65cc115523ca9,rename/split-standardization,Upload Split/val_indo.csv with huggingface_hub
sumitraadrian/dataset-sentimen-tambah,3b70278fc544f026d68f2597694a2fccafec864a,rename/split-standardization,Upload Split/train_indo.csv with huggingface_hub
fdemelo/ipa-childes-split,a13fed8856f41b63e899535d5adc5b9e9699f217,cleaning,Clean up empty data
aspisov/dataset,7a0562f5dee8ccce3fdcae418e301fcfdb7702de,deduplication,Add processed dataset group: stackexchange/v1_dedupe/allenai/dolma2-tokenizer/
SageLabUHN/DT_Lung_Demo_Data,5273d996344f4c5ca1a2de1a05e56419cc43175f,column/field add-remove,rename columns
science-of-finetuning/diffing-stats-gemma-2-2b-it-Meditron3-L16-k100-lr1e-04-local-shuffling-CCLoss,fad91388c65a583805cf0ffa0470bea580f3069d,column/field add-remove,Added betas columns to df
science-of-finetuning/diffing-stats-gemma-2-2b-it-Meditron3-L16-mu3.8e-02-lr1e-04-local-shuffling-CCLoss,680677e9d89e54d47d26ae76c3165f9bbfc13185,column/field add-remove,Added betas columns to df
science-of-finetuning/diffing-stats-R1dist-Qwen-1.5B-Nemotron-L16-mu3.6e-02-lr1e-04-local-shuffling-CCLoss,69eeb55fcf1775a890d773c3a39ddfdbea7e14b1,column/field add-remove,Added betas columns to df
science-of-finetuning/diffing-stats-R1dist-Qwen-1.5B-Nemotron-L16-k100-lr1e-04-local-shuffling-CCLoss,197357f0a87b1a80259a9b4bb4c6ab3f6d5dd617,column/field add-remove,Added betas columns to df
KeshavBanka/Cocvid,54b1a9a1a50d4f0b7deecf457c78e28a4685e7e2,cleaning,Upload Covid Data Cleaned.csv
Textovic/hh_vacancy,1f73a3a0392942a6970eb8b76a87b23d2535c7ab,cleaning,Upload cleaned_data.csv
